version:,1.2,fluorescence lines K series,,,,fluorescence lines L series,,,,,,,,,,,,fluorescence lines M series,,,,"yields, from Hubbell et al, 1994, table 8",,,,,absolute yields for subshells,,,,,,,,,,,,,,,,,,,,,,electron binding energies,,,,,,,,,,,,,,,,,,,,,,,,jump factors,,,,,,,,,,,,,,,,
aprrox intensity,-,100%,50%,15%,5%,100%,10%,50%,20%,6%,4%,10%,1%,3%,<1%,3%,1%,,,,,"note, erratum Hubbell et al 2004",,,,,100%,50%,15%,5%,100%,10%,50%,20%,6%,4%,10%,1%,3%,<1%,3%,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transition,-,K-L3,K-L2,"K-M2,M3","K-N2,3",L3-M5,L3-M4,L2-M4,L3-N5,L1-M3,L1-M2,L2-N4,L1-N2,L1-N3,L1-O3,L3-M1,L2-M1,M5-N7,M5-N6,M4-N6,M3-N5,assume W_l1=l2=l3,,,,,K-L3,K-L2,"K-M2,3","K-N2,3",L3-M5,L3-M4,L2-M4,L3-N5,L1-M3,L1-M2,L2-N4,L1-N2,L1-N3,L1-O3,L3-M1,L2-M1,M5-N7,M5-N6,M4-N6,M3-N5,,,K,L-I,L-II,L-III,M-I,M-II,M-III,M-IV,M-V,N-I,N-II,N-III,N-IV,N-V,N-VI,N-VII,O-I,O-II,O-III,O-IV,O-V,P-I,P-II,P-III,,,,,,,,,,,,,,,,,
Z,Symbol,Ka1,Ka2,"Kb1,3",Kb2,La1,La2,Lb1,Lb2,Lb3,Lb4,Lg1,Lg2,Lg3,Lg4,Ll,Ln,Ma1,Ma2,Mb,Mg,w_K,W_L1,w_L2,w_L3,w_M,Ka1,Ka2,Kb1+3,Kb2,La1,La2,Lb1,Lb2,Lb3,Lb4,Lg1,Lg2,Lg3,Lg4,Ll,Ln,Ma1,Ma2,Mb,Mg,density g/cc,atomic mass [g/mol],1s,2s,2p1/2,2p3/2,3s,3p1/2,3p3/2,3d3/2,3d5/2,4s,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s,5p1/2,5p3/2,5d3/2,5d5/2,6s,6p1/2,6p3/2,K,L1,L2,L3,M1,M2,M3,M4,M5,N1,N2,N3,N4,N5,O1,O2,O3
1,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00009,1.01,0.0136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,He,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00017,4,0.0246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Li,0.0543,0.0543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.534,6.94,0.0547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Be,0.1085,0.1085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00045,0,0,0,0,0.0003,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8,9.01,0.1115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.53,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,B,0.18505,0.18505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00101,0,0,0,0,0.0007,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.5,10.81,0.188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,C,0.28177,0.28177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00198,0,0,0,0,0.0013,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.3,12.01,0.2842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.02,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,N,0.3923,0.3923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00351,0,0,0,0,0.0023,0.0012,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00117,14.01,0.4099,0.0373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.44,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,O,0.52295,0.52295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00579,0,0,0,0,0.0039,0.0019,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00133,16,0.5431,0.0416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,F,0.67724,0.67724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00901,0,0,0,0,0.0060,0.0030,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0017,19,0.6967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.84,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Ne,0.84831,0.84831,0.85741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0134,0,0,0,0,0.0089,0.0045,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00084,20.18,0.8702,0.0485,0.0217,0.0216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.61,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Na,1.0411,1.0411,1.0672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021332385,0.000216714,0.000216714,0.000216714,0,0.0142,0.0071,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.97,22.99,1.0708,0.0635,0.0304,0.0305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.84,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Mg,1.2537,1.2537,1.2955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029108403,0.000303939,0.000303939,0.000303939,0,0.0194,0.0097,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.741,24.31,1.303,0.0886,0.0496,0.04921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.02,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
13,Al,1.4869,1.4865,1.553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038724724,0.000414879,0.000414879,0.000414879,0,0.0256,0.0128,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.7,26.98,1.559,0.1178,0.0729,0.0725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.95,1.08901,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
14,Si,1.74,1.739,1.829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050373344,0.000553396,0.000553396,0.000553396,0,0.0331,0.0166,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.3,28.09,1.839,0.1497,0.0998,0.0992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.37,1.09471,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
15,P,2.013,2.012,2.136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064216777,0.000723627,0.000723627,0.000723627,0,0.0420,0.0210,0.0013,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.82,30.97,2.1455,0.189,0.136,0.135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.969,1.09965,1,6.19,1,1,1,0,0,0,0,0,0,0,0,0,0
16,S,2.307,2.306,2.464,0,0,0,0,0,0,0,0,0,0,0,0.14866,0.14866,0,0,0,0,0.080376951,0.00092998,0.00092998,0.00092998,0,0.0519,0.0259,0.0026,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.07,32.06,2.472,0.2309,0.1636,0.1625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.613,1.10397,1.4,5.546,1,1,1,0,0,0,0,0,0,0,0,0,0
17,Cl,2.622,2.62,2.815,0,0,0,0,0,0,0,0,0,0,0,0.18276,0.18436,0,0,0,0,0.098924885,0.001177131,0.001177131,0.001177131,0,0.0634,0.0317,0.0038,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.56,35.45,2.822,0.27,0.202,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.309,1.10778,1.4,4.646,1,1,1,0,0,0,0,0,0,0,0,0,0
18,Ar,2.957,2.955,3.19,0,0,0,0,0,0,0,0,0,0,0,0.22055,0.21822,0,0,0,0,0.119872154,0.001470023,0.001470023,0.001470023,0,0.0754,0.0377,0.0068,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00166,39.95,3.2059,0.3263,0.2506,0.2484,0.0293,0.0159,0.0157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.054,1.11117,1.4,4.183,1,1,1,0,0,0,0,0,0,0,0,0,0
19,K,3.313,3.31,3.589,0,0,0,0,0,0,0,0,0,0,0,0.25918,0.26197,0,0,0,0,0.143165136,0.001813863,0.001813863,0.001813863,0,0.0895,0.0447,0.0089,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.86,39.1,3.6084,0.3786,0.2973,0.2946,0.0348,0.0183,0.0183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.163,1.11421,1.4,10.98,1,1,1,0,0,0,0,0,0,0,0,0,0
20,Ca,3.691,3.6869,4.0119,0,0.34067,0.34067,0.34418,0,0,0,0,0,0,0,0.30208,0.30581,0,0,0,0,0.168682873,0.002214123,0.002214123,0.002214123,0,0.1041,0.0526,0.0121,0.0000,0.0020,0.0002,0.0022,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.54,40.08,4.0385,0.4384,0.3497,0.3462,0.0443,0.0254,0.0254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.744,1.11694,1.4,5.811,1,1,1,0,0,0,0,0,0,0,0,0,0
21,Sc,4.09,4.085,4.4601,0,0.395,0.395,0.4,0,0.458,0.458,0,0,0,0,0.348,0.353,0,0,0,0,0.196239065,0.002676536,0.002676536,0.002676536,0,0.1203,0.0607,0.0152,0.0000,0.0024,0.0003,0.0027,0.0000,0.0027,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3,44.96,4.492,0.498,0.4036,0.3987,0.0511,0.0283,0.0283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.551,1.1194,1.4,5.007,1,1,1,0,0,0,0,0,0,0,0,0,0
22,Ti,4.51,4.504,4.931,0,0.452,0.452,0.458,0,0.519,0.519,0,0,0,0,0.395,0.401,0,0,0,0,0.225588286,0.003207094,0.003207094,0.003207094,0,0.1374,0.0694,0.0188,0.0000,0.0021,0.0002,0.0032,0.0000,0.0032,0.0000,0.0000,0.0000,0.0000,0.0000,0.0009,0.0000,0.0000,0.0000,0.0000,0.0000,4.54,47.9,4.966,0.5609,0.4602,0.4538,0.0587,0.0326,0.0326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.366,1.12165,1.4,4.592,1,1,1,1,1,0,0,0,0,0,0,0,0
23,V,4.9509,4.944,5.4261,0,0.511,0.511,0.519,0,0.585,0.585,0,0,0,0,0.446,0.453,0,0,0,0,0.256436028,0.00381205,0.00381205,0.00381205,0,0.1553,0.0784,0.0227,0.0000,0.0026,0.0003,0.0038,0.0000,0.0038,0.0000,0.0000,0.0000,0.0000,0.0000,0.0009,0.0000,0.0000,0.0000,0.0000,0.0000,6.1,50.94,5.465,0.6267,0.5198,0.5121,0.0663,0.0372,0.0372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.242,1.1237,1.4,4.073,1,1,1,1,1,0,0,0,0,0,0,0,0
24,Cr,5.414,5.405,5.946,0,0.573,0.573,0.583,0,0.654,0.654,0,0,0,0,0.5,0.51,0,0,0,0,0.288451717,0.004497912,0.004497912,0.004497912,0,0.1737,0.0879,0.0269,0.0000,0.0033,0.0004,0.0045,0.0000,0.0045,0.0000,0.0000,0.0000,0.0000,0.0000,0.0009,0.0000,0.0000,0.0000,0.0000,0.0000,7.2,52,5.989,0.696,0.5838,0.5741,0.0741,0.0422,0.0422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.045,1.12558,1.4,5,1,1,1,1,1,0,0,0,0,0,0,0,0
25,Mn,5.898,5.887,6.4891,0,0.637,0.637,0.649,0,0.721,0.721,0,0,0,0,0.556,0.567,0,0,0,0,0.32128355,0.005271446,0.005271446,0.005271446,0,0.1924,0.0974,0.0315,0.0000,0.0040,0.0004,0.0052,0.0000,0.0053,0.0000,0.0000,0.0000,0.0000,0.0000,0.0008,0.0001,0.0000,0.0000,0.0000,0.0000,7.44,54.94,6.539,0.7691,0.6499,0.6387,0.0823,0.0472,0.0472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.999,1.12731,1.4,3.306,1,1,1,1,1,0,0,0,0,0,0,0,0
26,Fe,6.403,6.3901,7.0568,0,0.705,0.705,0.718,0,0.792,0.792,0,0,0,0,0.615,0.62799,0,0,0,0,0.354573808,0.006139672,0.006139672,0.006139672,0,0.2113,0.1069,0.0363,0.0000,0.0049,0.0005,0.0061,0.0000,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0001,0.0000,0.0000,0.0000,0.0000,7.87,55.85,7.112,0.8446,0.7199,0.7068,0.0913,0.0527,0.0527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.893,1.1289,1.4,3.099,1,1,1,1,1,0,0,0,0,0,0,0,0
27,Co,6.929,6.914,7.648,0,0.776,0.776,0.791,0,0.866,0.866,0,0,0,0,0.678,0.69399,0,0,0,0,0.38797337,0.007109864,0.007109864,0.007109864,0,0.2300,0.1164,0.0415,0.0000,0.0057,0.0006,0.0070,0.0000,0.0071,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0001,0.0000,0.0000,0.0000,0.0000,8.9,58.93,7.709,0.9251,0.7932,0.7781,0.101,0.0589,0.0599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.796,1.13038,1.4,2.773,1.04,1,1,1,1,0,0,0,0,0,0,0,0
28,Ni,7.4768,7.4602,8.2632,8.3287,0.851,0.851,0.869,0,0.941,0.941,0,0,0,0,0.743,0.76199,0,0,0,0,0.42115435,0.008189548,0.008189548,0.008189548,0,0.2483,0.1259,0.0469,0.0000,0.0068,0.0007,0.0081,0.0000,0.0082,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0001,0.0000,0.0000,0.0000,0.0000,8.9,58.71,8.333,1.0086,0.87,0.8527,0.1108,0.068,0.0662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.707,1.13175,1.4,2.614,1.04,1,1,1,1,0,0,0,0,0,0,0,0
29,Cu,8.046,8.0262,8.9041,8.9777,0.93,0.93,0.95,0,1.023,1.023,0,0,0,0,0.811,0.83199,0,0,0,0,0.453820106,0.009386502,0.009386502,0.009386502,0,0.2664,0.1353,0.0521,0.0000,0.0078,0.0009,0.0093,0.0000,0.0094,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0001,0.0000,0.0000,0.0000,0.0000,8.93,63.55,8.979,1.0967,0.9523,0.9327,0.1225,0.0773,0.0751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.56,1.13303,1.4,3.135,1.04,1,1,1,1,0,0,0,0,0,0,0,0
30,Zn,8.6368,8.614,9.5701,9.6582,1.012,1.012,1.034,0,1.107,1.107,0,0,0,0,0.884,0.906,0,0,0,0,0.48571225,0.010708755,0.010708755,0.010708755,0,0.2839,0.1445,0.0573,0.0000,0.0090,0.0010,0.0095,0.0000,0.0107,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0012,0.0000,0.0000,0.0000,0.0000,7.14,65.37,9.659,1.1962,1.0449,1.0218,0.1398,0.0914,0.0886,0.0102,0.0101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.543,1.13422,1.4,2.455,1.04,1,1,1,1,1,1,0,0,0,0,0,0
31,Ga,9.2502,9.2227,10.263,10.365,1.098,1.098,1.125,0,1.197,1.197,0,0,1.279,0,0.957,0.98399,0,0,0,0,0.516614638,0.012164584,0.012164584,0.012164584,0,0.3006,0.1533,0.0627,0.0000,0.0103,0.0011,0.0109,0.0000,0.0118,0.0000,0.0000,0.0000,0.0004,0.0000,0.0007,0.0012,0.0000,0.0000,0.0000,0.0000,5.95,69.72,10.367,1.299,1.1432,1.1164,0.15951,0.1035,0.1,0.0187,0.0187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.468,1.13534,1.4,2.959,1.04,1.058,1.11062,1,1,1,1,1,0,0,0,0,0
32,Ge,9.8853,9.8538,10.98,11.099,1.188,1.188,1.218,0,1.294,1.286,0,0,1.395,0,1.036,1.068,0,0,0,0,0.546354593,0.013762516,0.013762516,0.013762516,0,0.3165,0.1618,0.0681,0.0000,0.0118,0.0013,0.0125,0.0000,0.0134,0.0000,0.0000,0.0000,0.0004,0.0000,0.0007,0.0013,0.0000,0.0000,0.0000,0.0000,5.4,72.59,11.103,1.4146,1.2481,1.217,0.1801,0.1249,0.1208,0.0298,0.0292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.392,1.13638,1.4,3.684,1.04,1.058,1.11304,1,1,1,1,1,0,0,0,0,0
33,As,10.542,10.506,11.724,11.862,1.282,1.282,1.317,0,1.388,1.388,0,0,1.516,0,1.12,1.155,0,0,0,0,0.574801835,0.015511325,0.015511325,0.015511325,0,0.3319,0.1699,0.0730,0.0000,0.0133,0.0015,0.0142,0.0000,0.0151,0.0000,0.0000,0.0000,0.0005,0.0000,0.0007,0.0014,0.0000,0.0000,0.0000,0.0000,5.73,74.92,11.867,1.527,1.3591,1.3236,0.2047,0.1462,0.1412,0.0417,0.0417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.314,1.13737,1.4,4.156,1.04,1.058,1.11532,1,1,1,1,1,0,0,0,0,0
34,Se,11.22,11.179,12.494,12.65,1.379,1.379,1.419,0,1.49,1.49,0,0,1.642,0,1.204,1.244,0,0,0,0,0.601865643,0.017420032,0.017420032,0.017420032,0,0.3451,0.1770,0.0776,0.0021,0.0150,0.0017,0.0160,0.0000,0.0169,0.0000,0.0000,0.0000,0.0005,0.0000,0.0007,0.0014,0.0000,0.0000,0.0000,0.0000,4.81,78.96,12.658,1.652,1.4743,1.4339,0.2296,0.1665,0.1607,0.0555,0.0546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.225,1.13829,1.4,4.431,1.04,1.058,1.11746,1,1,1,1,1,0,0,0,0,0
35,Br,11.922,11.876,13.288,13.467,1.48,1.48,1.526,0,1.596,1.596,0,0,1.773,0,1.293,1.339,0,0,0,0,0.627490838,0.019497904,0.019497904,0.019497904,0,0.3579,0.1839,0.0823,0.0034,0.0169,0.0019,0.0180,0.0000,0.0189,0.0000,0.0000,0.0000,0.0006,0.0000,0.0008,0.0015,0.0000,0.0000,0.0000,0.0000,3.1,79.9,13.474,1.782,1.596,1.55,0.257,0.189,0.182,0.07,0.069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.141,1.13916,1.4,4.654,1.04,1.058,1.11949,1,1,1,1,1,0,0,0,0,0
36,Kr,12.649,12.596,14.11,14.312,1.586,1.586,1.636,0,1.706,1.697,0,0,1.909,0,1.385,1.438,0,0,0,0,0.651653076,0.021754452,0.021754452,0.021754452,0,0.3696,0.1904,0.0869,0.0048,0.0189,0.0021,0.0203,0.0000,0.0196,0.0000,0.0000,0.0000,0.0021,0.0000,0.0008,0.0015,0.0000,0.0000,0.0000,0.0000,0.00349,83.8,14.326,1.921,1.7309,1.6784,0.2928,0.2222,0.2144,0.095,0.0938,0.0275,0.0141,0.0141,0,0,0,0,0,0,0,0,0,0,0,0,7.058,1.13999,1.4,4.678,1.04,1.058,1.12139,1,1,1,1,1,0,0,0,0,0
37,Rb,13.393,13.333,14.959,15.185,1.694,1.692,1.752,0,1.826,1.817,0,2.0507,2.05,0,1.482,1.542,0,0,0,0,0.674353899,0.024199433,0.024199433,0.024199433,0,0.3802,0.1964,0.0911,0.0067,0.0210,0.0023,0.0227,0.0000,0.0213,0.0000,0.0000,0.0002,0.0027,0.0000,0.0009,0.0015,0.0000,0.0000,0.0000,0.0000,1.53,85.47,15.2,2.065,1.864,1.804,0.3267,0.2487,0.2391,0.113,0.112,0.0305,0.0163,0.0153,0,0,0,0,0,0,0,0,0,0,0,0,6.97,1.14076,1.4,3.987,1.04,1.058,1.1232,1.953,1.843,1,1,1,0,0,0,0,0
38,Sr,14.163,14.095,15.837,16.086,1.806,1.804,1.871,0,1.947,1.936,0,2.1965,2.196,0,1.582,1.649,0,0,0,0,0.69561587,0.026272078,0.026272078,0.026272078,0,0.3899,0.2020,0.0951,0.0086,0.0228,0.0025,0.0247,0.0000,0.0227,0.0000,0.0000,0.0002,0.0033,0.0000,0.0009,0.0015,0.0000,0.0000,0.0000,0.0000,2.6,87.62,16.105,2.216,2.007,1.94,0.3587,0.2803,0.27,0.136,0.1342,0.0389,0.0216,0.0201,0,0,0,0,0,0,0,0,0,0,0,0,6.888,1.1415,1.4,3.982,1.04,1.058,1.12491,1.139,1.808,1,1,1,0,0,0,0,0
39,Y,14.955,14.88,16.739,17.012,1.922,1.92,1.995,2.075,2.072,2.06,2.144,2.3468,2.346,0,1.685,1.761,0,0,0,0,0.715478015,0.028525542,0.028525542,0.028525542,0,0.3987,0.2069,0.0987,0.0112,0.0248,0.0027,0.0268,0.0000,0.0243,0.0000,0.0001,0.0002,0.0040,0.0000,0.0010,0.0015,0.0000,0.0000,0.0000,0.0000,4.6,88.91,17.038,2.373,2.156,2.08,0.392,0.3106,0.2988,0.1577,0.1558,0.0438,0.0244,0.0231,0,0,0,0,0,0,0,0,0,0,0,0,6.814,1.1422,1.4,3.909,1.04,1.058,1.12653,1.12,1.631,1,1,1,0,0,0,0,0
